,State,DC Fast Charge,Level 1,Level 2,EV Network
762,FL,,,2.0,ChargePoint Network
763,FL,,,2.0,ChargePoint Network
764,FL,,2.0,2.0,ChargePoint Network
765,FL,,1.0,1.0,ChargePoint Network
766,FL,,1.0,1.0,ChargePoint Network
767,FL,,1.0,1.0,ChargePoint Network
768,HI,1.0,,,Greenlots
769,FL,,1.0,1.0,ChargePoint Network
770,IA,,,1.0,
771,IA,,,1.0,
772,IA,,,1.0,
773,IL,,1.0,1.0,ChargePoint Network
774,IL,,1.0,1.0,ChargePoint Network
775,KS,,2.0,2.0,ChargePoint Network
776,MD,,1.0,1.0,ChargePoint Network
777,MD,,1.0,1.0,ChargePoint Network
778,MD,,1.0,1.0,ChargePoint Network
779,MI,,,1.0,ChargePoint Network
780,MI,,1.0,1.0,ChargePoint Network
781,MI,,1.0,1.0,ChargePoint Network
782,MI,,1.0,1.0,
783,MI,,1.0,1.0,ChargePoint Network
784,MI,,1.0,1.0,ChargePoint Network
785,MI,,1.0,1.0,ChargePoint Network
786,MI,,1.0,1.0,ChargePoint Network
787,MI,,1.0,1.0,ChargePoint Network
788,MI,,1.0,1.0,ChargePoint Network
789,MI,,1.0,1.0,
790,MI,,1.0,1.0,ChargePoint Network
791,MI,,1.0,1.0,ChargePoint Network
792,MI,,,1.0,ChargePoint Network
793,MI,,2.0,2.0,ChargePoint Network
794,MI,,1.0,1.0,ChargePoint Network
795,MI,,1.0,1.0,ChargePoint Network
796,MN,,1.0,1.0,ChargePoint Network
797,OR,,,2.0,
798,VA,,,1.0,
799,SC,,,1.0,
800,SC,,,1.0,ChargePoint Network
801,SC,,,1.0,
802,MA,,,2.0,
803,CA,,2.0,2.0,ChargePoint Network
804,CA,,2.0,8.0,ChargePoint Network
805,MD,,,2.0,SemaCharge Network
806,MD,,,2.0,SemaCharge Network
807,MD,,,5.0,SemaCharge Network
808,MD,,,1.0,SemaCharge Network
809,NJ,,1.0,1.0,ChargePoint Network
810,NV,,,13.0,ChargePoint Network
811,NY,,1.0,1.0,ChargePoint Network
812,NY,,1.0,1.0,ChargePoint Network
813,NY,,1.0,1.0,ChargePoint Network
814,NY,,1.0,1.0,ChargePoint Network
815,NY,,1.0,1.0,ChargePoint Network
816,NY,,1.0,1.0,ChargePoint Network
817,NY,,,2.0,ChargePoint Network
818,NY,,1.0,1.0,ChargePoint Network
819,SC,,,3.0,
820,TX,,2.0,2.0,ChargePoint Network
821,TX,,2.0,2.0,ChargePoint Network
822,TX,,2.0,2.0,ChargePoint Network
823,TX,,2.0,2.0,ChargePoint Network
824,TX,,1.0,1.0,ChargePoint Network
825,TX,,2.0,2.0,ChargePoint Network
826,TX,,2.0,2.0,ChargePoint Network
827,TX,,1.0,1.0,ChargePoint Network
828,TX,,2.0,2.0,ChargePoint Network
829,TX,,1.0,1.0,ChargePoint Network
830,VA,,2.0,2.0,ChargePoint Network
831,WA,,1.0,1.0,ChargePoint Network
832,WA,,1.0,1.0,ChargePoint Network
833,WA,,2.0,2.0,ChargePoint Network
834,WA,,,6.0,ChargePoint Network
835,CA,,,2.0,ChargePoint Network
836,CA,,1.0,3.0,ChargePoint Network
837,CA,,,2.0,ChargePoint Network
838,CA,,2.0,2.0,ChargePoint Network
839,CA,,2.0,2.0,ChargePoint Network
840,CA,,,8.0,ChargePoint Network
841,CA,,1.0,3.0,ChargePoint Network
842,CA,,,6.0,ChargePoint Network
843,CA,,,2.0,ChargePoint Network
844,CA,,2.0,2.0,ChargePoint Network
845,CA,,1.0,1.0,ChargePoint Network
846,CA,,1.0,1.0,ChargePoint Network
847,CA,,2.0,2.0,
848,VA,,,1.0,
849,CA,,,4.0,ChargePoint Network
850,IL,,,1.0,ChargePoint Network
851,IL,,,2.0,ChargePoint Network
852,IL,,,2.0,ChargePoint Network
853,TN,,,6.0,
854,WI,,1.0,2.0,ChargePoint Network
855,WI,,2.0,2.0,ChargePoint Network
856,WI,,1.0,1.0,ChargePoint Network
